iShares S&P 100 ETF
Fund Holdings as of,"Nov 06, 2024"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"50,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LLY","ELI LILLY","Health Care","Equity","254,214,761.68","1.76","254,214,761.68","327,436.00","776.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","228,702,923.34","1.58","228,702,923.34","383,286.00","596.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","223,133,438.00","1.54","223,133,438.00","1,844,078.00","121.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","213,135,175.20","1.47","213,135,175.20","693,348.00","307.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","178,456,799.46","1.23","178,456,799.46","342,442.00","521.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","165,476,388.00","1.14","165,476,388.00","184,016.00","899.25","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","159,850,373.41","1.10","159,850,373.41","411,593.00","388.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","157,748,485.96","1.09","157,748,485.96","999,167.00","157.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","157,361,793.95","1.09","157,361,793.95","977,099.00","161.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","150,429,970.88","1.04","150,429,970.88","1,802,852.00","83.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","147,509,578.80","1.02","147,509,578.80","733,149.00","201.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","138,981,928.14","0.96","138,981,928.14","178,134.00","780.21","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","127,241,680.83","0.88","127,241,680.83","2,802,063.00","45.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","123,434,259.30","0.85","123,434,259.30","402,197.00","306.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","120,244,221.72","0.83","120,244,221.72","663,453.00","181.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","111,349,373.68","0.77","111,349,373.68","705,994.00","157.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","105,980,651.98","0.73","105,980,651.98","1,052,126.00","100.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","102,557,382.20","0.71","102,557,382.20","1,610,006.00","63.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","102,385,471.06","0.71","102,385,471.06","1,412,798.00","72.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","97,476,003.50","0.67","97,476,003.50","671,785.00","145.10","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","96,771,892.23","0.67","96,771,892.23","1,672,229.00","57.87","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","93,904,794.62","0.65","93,904,794.62","570,122.00","164.71","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","92,909,922.86","0.64","92,909,922.86","184,042.00","504.83","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","92,592,019.35","0.64","92,592,019.35","259,995.00","356.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","92,308,101.27","0.64","92,308,101.27","199,529.00","462.63","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","88,742,301.12","0.61","88,742,301.12","158,559.00","559.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","87,536,736.00","0.60","87,536,736.00","297,744.00","294.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","84,350,974.40","0.58","84,350,974.40","722,183.00","116.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","83,903,770.08","0.58","83,903,770.08","201,266.00","416.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","81,668,464.80","0.56","81,668,464.80","382,343.00","213.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","81,467,610.84","0.56","81,467,610.84","378,972.00","214.97","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","81,354,291.68","0.56","81,354,291.68","450,068.00","180.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","80,869,560.36","0.56","80,869,560.36","645,356.00","125.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","79,988,327.13","0.55","79,988,327.13","462,387.00","172.99","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","78,124,634.28","0.54","78,124,634.28","131,086.00","595.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","75,236,582.04","0.52","75,236,582.04","116,036.00","648.39","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","74,441,029.74","0.51","74,441,029.74","752,766.00","98.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","72,378,785.06","0.50","72,378,785.06","1,603,429.00","45.14","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","71,916,768.84","0.50","71,916,768.84","1,747,249.00","41.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","71,766,571.17","0.50","71,766,571.17","223,023.00","321.79","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","69,611,563.61","0.48","69,611,563.61","13,919.00","5,001.19","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","68,803,566.96","0.48","68,803,566.96","233,106.00","295.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","67,990,454.73","0.47","67,990,454.73","517,077.00","131.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","67,135,432.14","0.46","67,135,432.14","552,146.00","121.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","66,427,645.68","0.46","66,427,645.68","2,976,149.00","22.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","66,101,872.48","0.46","66,101,872.48","266,798.00","247.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","64,352,525.76","0.44","64,352,525.76","2,352,066.00","27.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","63,548,942.04","0.44","63,548,942.04","852,777.00","74.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","62,833,678.38","0.43","62,833,678.38","252,862.00","248.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","61,905,426.52","0.43","61,905,426.52","236,524.00","261.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","59,456,657.70","0.41","59,456,657.70","57,735.00","1,029.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","58,489,890.40","0.40","58,489,890.40","270,286.00","216.40","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","54,769,205.48","0.38","54,769,205.48","481,996.00","113.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","54,662,095.80","0.38","54,662,095.80","791,860.00","69.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","48,588,302.82","0.34","48,588,302.82","88,051.00","551.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","47,971,680.48","0.33","47,971,680.48","532,368.00","90.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","47,376,406.38","0.33","47,376,406.38","516,702.00","91.69","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","47,217,926.21","0.33","47,217,926.21","203,359.00","232.19","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","46,952,728.50","0.32","46,952,728.50","619,838.00","75.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","46,508,280.16","0.32","46,508,280.16","841,322.00","55.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","45,191,612.32","0.31","45,191,612.32","470,354.00","96.08","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","44,590,804.44","0.31","44,590,804.44","303,009.00","147.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","44,348,444.85","0.31","44,348,444.85","1,770,397.00","25.05","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","43,150,909.89","0.30","43,150,909.89","106,359.00","405.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","40,696,680.96","0.28","40,696,680.96","303,888.00","133.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","39,663,240.78","0.27","39,663,240.78","453,709.00","87.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","38,419,241.43","0.27","38,419,241.43","707,667.00","54.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","38,284,891.19","0.26","38,284,891.19","193,877.00","197.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","37,556,209.04","0.26","37,556,209.04","498,622.00","75.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","36,789,156.48","0.25","36,789,156.48","554,304.00","66.37","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","36,388,075.79","0.25","36,388,075.79","320,233.00","113.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","34,507,582.34","0.24","34,507,582.34","423,874.00","81.41","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","33,133,028.72","0.23","33,133,028.72","646,372.00","51.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","32,976,533.22","0.23","32,976,533.22","106,907.00","308.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","32,106,018.37","0.22","32,106,018.37","521,117.00","61.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","30,571,227.44","0.21","30,571,227.44","338,852.00","90.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","30,493,717.92","0.21","30,493,717.92","227,701.00","133.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","30,328,900.55","0.21","30,328,900.55","158,815.00","190.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","30,156,651.76","0.21","30,156,651.76","237,716.00","126.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","28,225,182.70","0.19","28,225,182.70","191,630.00","147.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","26,279,430.10","0.18","26,279,430.10","93,835.00","280.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","25,759,931.85","0.18","25,759,931.85","467,937.00","55.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","24,027,184.60","0.17","24,027,184.60","307,253.00","78.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","22,153,330.44","0.15","22,153,330.44","127,604.00","173.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","22,069,327.91","0.15","22,069,327.91","22,069,328.00","1.00","United States","-","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","20,649,986.24","0.14","20,649,986.24","268,112.00","77.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","20,390,089.50","0.14","20,390,089.50","244,926.00","83.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","18,190,083.54","0.13","18,190,083.54","1,625,566.00","11.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","16,489,720.28","0.11","16,489,720.28","40,414.00","408.02","United States","NASDAQ","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","14,109,400.30","0.10","14,109,400.30","291,818.00","48.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","12,279,711.12","0.08","12,279,711.12","367,436.00","33.42","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","4,223,865.73","0.03","4,223,865.73","4,223,866.00","100.00","United States","-","USD","1.00","USD","-"
"MSFUT","CASH COLLATERAL MSFUT USD","Cash and/or Derivatives","Cash Collateral and Margins","1,346,640.00","0.01","1,346,640.00","1,346,640.00","100.00","United States","-","USD","1.00","USD","Feb 01, 2009"
"ESZ4","S&P500 EMINI DEC 24","Cash and/or Derivatives","Futures","0.00","0.00","24,726,737.50","83.00","5,958.25","-","Index And Options Market","USD","1.00","USD","-"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners."
